file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/QueryRunner.java,349,NullifyInputVariable,"public <T> List<T> execute(final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException {","public <T> List<T> execute(final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException { rsh = null;",105,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,182,NullifyInputVariable,"protected final BigDecimal getBigDecimal(final String columnLabel, final int scale) throws SQLException {","protected final BigDecimal getBigDecimal(final String columnLabel, final int scale) throws SQLException { columnLabel = null;",204,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/ProxyFactory.java,73,NullifyInputVariable,public Connection createConnection(final InvocationHandler handler) {,public Connection createConnection(final InvocationHandler handler) { handler = null;,17,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BeanProcessor.java,317,NullifyInputVariable,"public <T> T populateBean(final ResultSet resultSet, final T bean) throws SQLException {","public <T> T populateBean(final ResultSet resultSet, final T bean) throws SQLException { resultSet = null;",45,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,848,NullifyInputVariable,"protected final void updateAsciiStream(final int columnIndex, final InputStream x) throws SQLException {","protected final void updateAsciiStream(final int columnIndex, final InputStream x) throws SQLException { x = null;",160,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/wrappers/SqlNullCheckedResultSet.java,425,NullifyInputVariable,public void setNullBinaryStream(final InputStream nullBinaryStream) {,public void setNullBinaryStream(final InputStream nullBinaryStream) { nullBinaryStream = null;,37,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,662,NullifyInputVariable,"public <T> T query(final String sql, final Object[] params, final ResultSetHandler<T> rsh) throws SQLException {","public <T> T query(final String sql, final Object[] params, final ResultSetHandler<T> rsh) throws SQLException { params = null;",65,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BasicRowProcessor.java,234,NullifyInputVariable,"public <T> List<T> toBeanList(final ResultSet resultSet, final Class<? extends T> type) throws SQLException {","public <T> List<T> toBeanList(final ResultSet resultSet, final Class<? extends T> type) throws SQLException { resultSet = null;",17,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,760,NullifyInputVariable,"public int update(final Connection conn, final String sql, final Object... params) throws SQLException {","public int update(final Connection conn, final String sql, final Object... params) throws SQLException { params = null;",49,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,1380,NullifyInputVariable,"protected final void updateString(final String columnLabel, final String x) throws SQLException {","protected final void updateString(final String columnLabel, final String x) throws SQLException { x = null;",65,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,804,NullifyInputVariable,public int update(final String sql) throws SQLException {,public int update(final String sql) throws SQLException { sql = null;,48,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,662,NullifyInputVariable,"public <T> T query(final String sql, final Object[] params, final ResultSetHandler<T> rsh) throws SQLException {","public <T> T query(final String sql, final Object[] params, final ResultSetHandler<T> rsh) throws SQLException { sql = null;",66,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,760,NullifyInputVariable,"public int update(final Connection conn, final String sql, final Object... params) throws SQLException {","public int update(final Connection conn, final String sql, final Object... params) throws SQLException { sql = null;",50,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/columns/LongColumnHandler.java,27,NullifyInputVariable,"public Long apply(final ResultSet resultSet, final int columnIndex) throws SQLException {","public Long apply(final ResultSet resultSet, final int columnIndex) throws SQLException { resultSet = null;",4,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,736,NullifyInputVariable,protected final boolean isWrapperFor(final Class<?> iface) throws SQLException {,protected final boolean isWrapperFor(final Class<?> iface) throws SQLException { iface = null;,165,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,1366,NullifyInputVariable,"protected final void updateSQLXML(final String columnLabel, final SQLXML xmlObject) throws SQLException {","protected final void updateSQLXML(final String columnLabel, final SQLXML xmlObject) throws SQLException { columnLabel = null;",69,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,446,NullifyInputVariable,throws SQLException {,throws SQLException { params = null;,39,reduced_nullify_input_other_filter
org/apache/commons/dbutils/BaseResultSetHandler.java,1401,NullifyInputVariable,"protected final void updateTimestamp(final int columnIndex, final Timestamp x) throws SQLException {","protected final void updateTimestamp(final int columnIndex, final Timestamp x) throws SQLException { x = null;",61,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,448,NullifyInputVariable,protected final String getNString(final String columnLabel) throws SQLException {,protected final String getNString(final String columnLabel) throws SQLException { columnLabel = null;,186,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,1303,NullifyInputVariable,"protected final void updateObject(final String columnLabel, final Object x, final int scaleOrLength) throws SQLException {","protected final void updateObject(final String columnLabel, final Object x, final int scaleOrLength) throws SQLException { x = null;",78,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,430,NullifyInputVariable,"public <T> Future<T> query(final Connection conn, final String sql, final ResultSetHandler<T> rsh) throws SQLException {","public <T> Future<T> query(final Connection conn, final String sql, final ResultSetHandler<T> rsh) throws SQLException { sql = null;",44,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,446,NullifyInputVariable,throws SQLException {,throws SQLException { sql = null;,41,reduced_nullify_input_other_filter
org/apache/commons/dbutils/handlers/columns/ShortColumnHandler.java,27,NullifyInputVariable,"public Short apply(final ResultSet resultSet, final int columnIndex) throws SQLException {","public Short apply(final ResultSet resultSet, final int columnIndex) throws SQLException { resultSet = null;",4,reduced_nullify_final_param_non_compilable
